,Date,Portfolio MACD Total,Portfolio Trix Total,Portfolio KDJ Total,Portfolio Asset,Portfolio Daily Returns,Portfolio Cumulative Returns
0,2023-01-03,,,,0.0,,
1,2023-01-04,100000.0,100000.0,100000.0,300000.0,,
2,2023-01-05,100000.0,100000.0,100000.0,300000.0,0.0,0.0
3,2023-01-06,100000.0,100000.0,100000.0,300000.0,0.0,0.0
4,2023-01-09,100000.0,100000.0,100000.0,300000.0,0.0,0.0
5,2023-01-10,100000.0,100000.0,100000.0,300000.0,0.0,0.0
6,2023-01-11,100000.0,100000.0,100000.0,300000.0,0.0,0.0
7,2023-01-12,100000.0,100000.0,100000.0,300000.0,0.0,0.0
8,2023-01-13,100000.0,100000.0,100000.0,300000.0,0.0,0.0
9,2023-01-17,100000.0,100000.0,100000.0,300000.0,0.0,0.0
10,2023-01-18,100000.0,100000.0,100000.0,300000.0,0.0,0.0
11,2023-01-19,100000.0,100000.0,100000.0,300000.0,0.0,0.0
12,2023-01-20,100000.0,100000.0,100000.0,300000.0,0.0,0.0
13,2023-01-23,102856.93858337402,100000.0,100000.0,302856.938583374,0.009523128611246712,0.009523128611246712
14,2023-01-24,103008.85884094238,100000.0,100000.0,303008.8588409424,0.0005016238303106046,0.01002952946980784
15,2023-01-25,103131.23922729492,100000.0,100184.13771057127,303315.3769378662,0.0010115813052340439,0.011051256459553738
16,2023-01-26,104141.93103027344,101077.30313110352,105585.58166503906,310804.815826416,0.02469191955963379,0.03601605275471975
17,2023-01-27,105329.85884094238,102087.90592956544,111597.40812683104,319015.17289733887,0.026416440971456234,0.06338390965779594
18,2023-01-30,102791.52909851074,100584.81968688963,107764.57145690918,311140.92024230957,-0.02468300358103437,0.0371364008076982
19,2023-01-31,103582.77909851074,101246.58624267578,107764.57145690918,312593.9367980957,0.004669962905086811,0.04197978932698532
20,2023-02-01,106549.43858337402,101831.40592956544,110557.36228942873,318938.20680236816,0.02029556321295578,0.06312735600789354
21,2023-02-02,108165.6993560791,104596.48344421388,112896.6224975586,325658.80529785156,0.021071788679265513,0.0855293509928381
22,2023-02-03,106880.71012878418,106484.31968688963,113479.72958374023,326844.75939941406,0.003641707462747057,0.08948253133137962
23,2023-02-06,106857.5,105063.3074951172,115109.70916748048,327030.51666259766,0.000568334837385498,0.0901017222086582
24,2023-02-07,109144.73922729492,106561.26655578612,115808.76020812988,331514.76599121094,0.01371202105043845,0.10504921997070249
25,2023-02-08,109212.26077270508,105160.7787475586,117336.4387512207,331709.4782714844,0.0005873411993919664,0.10569826090494727
26,2023-02-09,109490.77909851074,104622.12718200684,119392.673538208,333505.5798187256,0.005414682621071254,0.11168526606241791
27,2023-02-10,107228.85884094238,104693.94686889648,115836.04083251952,327758.8465423584,-0.017231295738712293,0.09252948847452735
28,2023-02-13,108332.39115905762,106150.87281799316,115068.79083251952,329552.0548095703,0.005471120874780633,0.09850684936523368
29,2023-02-14,110828.52154541016,105817.41812133788,120050.8010406494,336696.74070739746,0.02167999195743353,0.1223224690246576
