Date,Close,EMA12,EMA26,macd,signal,scaled_macd,scaled_signal,adx,delta,Entry/Exit,Position,Entry/Exit Position,Portfolio Holdings,Portfolio Cash,Portfolio MACD Total,Portfolio Daily Returns,Portfolio Cumulative Returns
2023-01-03,143.14999389648438,143.14999389648438,143.14999389648438,0.0,0.0,0.08244189360475335,0.0,,0.0,,0.0,,0.0,,,,
2023-01-04,147.49000549316406,145.50083351135254,145.40346145629883,0.09737205505371094,0.054095586140950516,0.39098984022781363,0.181702372404484,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,,
2023-01-05,142.64999389648438,144.38815015127696,144.41416729606976,-0.026017144792803037,0.021262499692690864,0.0,0.0714188885456387,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2023-01-06,148.58999633789062,145.71450878231005,145.5815466141893,0.13296216812074135,0.059101140759103624,0.5037661013517826,0.19851559533451768,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2023-01-09,156.27999877929688,148.58511465367675,148.06256179810205,0.5225528555747019,0.19696754806978847,1.7382825811680804,0.6615968755329203,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2023-01-10,159.08999633789062,151.13835356271247,150.271268984759,0.8670845779534773,0.3786065209543862,2.8300183510236026,1.2717063992240012,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2023-01-11,160.00999450683594,153.11802919989046,152.00325083464554,1.1147783652449164,0.5649119754666152,3.6148986682553375,1.8974902291387585,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2023-01-12,165.11000061035156,155.62056879972548,154.11507298682739,1.50549581289809,0.7909519592843819,4.852985572313088,2.6567388896661237,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2023-01-13,168.99000549316406,158.26551923570153,156.31986453272313,1.945654702978402,1.0576940215875517,6.247740172565202,3.5527022944116444,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2023-01-17,177.02000427246094,161.81948686134186,159.17628234880752,2.6432045125343393,1.4129404103173209,8.458102902273131,4.745944039720339,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2023-01-18,173.77000427246094,164.00614340024956,161.0690927056031,2.9370506946464445,1.7464070318597964,9.389228737747224,5.8660294399246995,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2023-01-19,167.64999389648438,164.65400805623062,161.87766010829037,2.776347947940252,1.9675951465796584,8.880001501190181,6.60898109382775,,0.0,0.0,0.0,0.0,0.0,100000.0,100000.0,0.0,0.0
2023-01-20,178.38999938964844,167.03909797492153,163.81207767671205,3.2270202982094816,2.234133264923873,10.308070655103554,7.5042594685398925,,1.0,1.0,211.0,211.0,37640.28987121582,62359.71012878418,100000.0,0.0,0.0
2023-01-23,191.92999267578125,171.2772226208124,166.97005415584894,4.307168464963468,2.6678137754963633,13.730792900379857,8.96095461241517,,1.0,0.0,211.0,0.0,40497.228454589844,62359.71012878418,102856.93858337402,0.028569385833740135,0.028569385833740135
2023-01-24,192.64999389648438,174.85752769856302,169.74799459462935,5.109533103933671,3.173966299937462,16.27328788685878,10.661076952338304,,1.0,0.0,211.0,0.0,40649.1487121582,62359.71012878418,103008.85884094238,0.0014770054374622088,0.030088588409423744
2023-01-25,193.22999572753906,177.89372289908405,172.20440481316643,5.68931808591762,3.691606946013364,18.11048302026084,12.399786894401029,,1.0,0.0,211.0,0.0,40771.52909851074,62359.71012878418,103131.23922729492,0.0011880569082074466,0.03131239227294924
2023-01-26,198.02000427246094,181.1822221153134,174.82491360253758,6.35730851277583,4.237029073823688,20.227179381011084,14.231812419123374,,1.0,0.0,211.0,0.0,41782.22090148926,62359.71012878418,104141.93103027344,0.009800054867478147,0.04141931030273427
2023-01-27,203.64999389648438,184.81858827718244,177.6727807154907,7.145807561691754,4.829457004223675,22.72573774380875,16.221726349473933,,1.0,0.0,211.0,0.0,42970.1487121582,62359.71012878418,105329.85884094238,0.01140681566893198,0.05329858840942392
2023-01-30,191.6199951171875,185.91064447359685,179.0174939984979,6.893150475098935,5.248230865780681,21.925129959316806,17.628351354841847,,1.0,0.0,211.0,0.0,40431.81896972656,62359.71012878418,102791.52909851074,-0.024098862092512108,0.027915290985107477
2023-01-31,195.3699951171875,187.41933478297642,180.55965914546232,6.859675637514101,5.5742788980062405,21.819056482746515,18.723518358279676,,1.0,0.0,211.0,0.0,41223.06896972656,62359.71012878418,103582.77909851074,0.007697618733171208,0.035827790985107466
2023-02-01,209.42999267578125,190.91014916244058,183.22835392682933,7.681795235611247,5.999706038316902,24.424150046105407,20.15249114874521,,1.0,0.0,211.0,0.0,44189.728454589844,62359.71012878418,106549.43858337402,0.028640470073137303,0.06549438583374045
2023-02-02,217.08999633789062,195.0425520277092,186.30198989313527,8.740562134573935,6.5519521143806525,27.779120344793302,22.007437722582026,,1.0,0.0,211.0,0.0,45805.98922729492,62359.71012878418,108165.6993560791,0.015169115803837618,0.08165699356079137
